"Id";"Référence";"Boîtier";"Quantité";"Désignation";"Fournisseur et réf";
1;"REF**";"WEEE-Logo_8.4x12mm_SilkScreen";1;"WEEE-Logo_8.4x12mm_SilkScreen";;;
2;"REF**";"OSHW-Logo2_7.3x6mm_Copper";1;"OSHW-Logo2_7.3x6mm_Copper";;;
3;"REF**";"ESD-Logo_6.6x6mm_SilkScreen";1;"ESD-Logo_6.6x6mm_SilkScreen";;;
4;"REF**";"CE-Logo_8.5x6mm_SilkScreen";1;"CE-Logo_8.5x6mm_SilkScreen";;;
5;"REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**";"MountingHole_3.2mm_M3_DIN965_Pad";8;"MountingHole_3.2mm_M3_DIN965_Pad";;;
6;"J4";"PinHeader_1x08_P2.54mm_Vertical";1;"X01--X08-";;;
7;"J5";"PinHeader_1x08_P2.54mm_Vertical";1;"X01+-X08+";;;
8;"U4";"LM2596_DC-DC_B";1;"LM2596_DC-DC";;;
9;"U3";"LM2596_DC-DC";1;"LM2596_DC-DC";;;
10;"J22";"PinSocket_2x02_P2.54mm_Horizontal";1;"+Ext2_In";;;
11;"J23";"PinSocket_2x02_P2.54mm_Horizontal";1;"GND";;;
12;"J16";"Phoenix_1988105";1;"Power";;;
13;"P2";"PinSocket_1x12_P2.54mm_Vertical";1;"Analog";;;
14;"P1";"PinSocket_1x12_P2.54mm_Vertical";1;"Digital";;;
15;"Q1";"TO-92_Inline";1;"BC337";;;
16;"U1,U2";"DIP-18_W7.62mm";2;"ULN2803A";;;
17;"J1";"PinHeader_1x04_P2.54mm_Vertical";1;"RC-";;;
18;"J2";"PinHeader_1x04_P2.54mm_Vertical";1;"RC+";;;
19;"J3";"PinHeader_1x04_P2.54mm_Vertical";1;"RCS";;;
20;"J6";"PinHeader_1x08_P2.54mm_Vertical";1;"X01T-X08T";;;
21;"J10";"PinHeader_1x08_P2.54mm_Vertical";1;"X09T-X16T";;;
22;"J11";"PinHeader_1x08_P2.54mm_Vertical";1;"X09+-X16+";;;
23;"J12";"PinHeader_1x08_P2.54mm_Vertical";1;"X09--X16-";;;
24;"R1";"R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical";1;"1K";;;
25;"R2,R3";"R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical";2;"10K";;;
26;"C1,C3";"CP_Radial_D6.3mm_P2.50mm";2;"220uF";;;
27;"J13";"PinHeader_1x03_P2.54mm_Vertical";1;"DIODE2";;;
28;"J14";"PinHeader_1x03_P2.54mm_Vertical";1;"POW2_SEL";;;
29;"J7";"PinHeader_1x03_P2.54mm_Vertical";1;"POW1_SEL";;;
30;"J9";"PinHeader_1x03_P2.54mm_Vertical";1;"DIODE1";;;
31;"R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";16;"10K";;;
32;"C2";"CP_Radial_D6.3mm_P2.50mm";1;"10uF";;;
33;"J8";"PinHeader_1x03_P2.54mm_Vertical";1;"SERVO PROP";;;
34;"J15";"PinHeader_1x03_P2.54mm_Vertical";1;"VCPU_SEL";;;
35;"D1";"LED_D3.0mm";1;"Signal Lost";;;
36;"F1";"Fuse_Bourns_MF-RG300";1;"Polyfuse 500mA";;;
37;"R4";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";1;"10K";;;
38;"R21";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";1;"680";;;
39;"J17";"PinHeader_2x02_P2.54mm_Horizontal";1;"+ExtV1_Out";;;
40;"J18";"PinSocket_2x02_P2.54mm_Horizontal";1;"+ExtV1_In";;;
41;"J19";"PinHeader_2x02_P2.54mm_Horizontal";1;"GND";;;
42;"J20";"PinSocket_2x02_P2.54mm_Horizontal";1;"Power1";;;
43;"J21";"PinHeader_2x02_P2.54mm_Horizontal";1;"Power2";;;
44;"J25";"PinHeader_2x02_P2.54mm_Horizontal";1;"+Ext2_Out";;;
