"Id";"Référence";"Boitier";"Quantité";"Désignation";"Fournisseur et réf.";
1;"R21,R43";"R_1206";2;"10K";;;
2;"RV1";"Potentiometer_Trimmer_Bourns_3296W";1;"10K";;;
3;"Q4";"SOT-23_MOS_P";1;"SI2319DS";;;
4;"P3";"Pin_Header_Straight_1x05_Pitch2.54mm";1;"FTDI";;;
5;"P1";"Connectors-2560-core";1;"2560-core";;;
6;"U4";"Pm5033_sil5";1;"PM5033";;;
7;"R22";"R_1206";1;"8,2K";;;
8;"D4,D3,D2,D1";"D_SOD-123";4;"LL4148";;;
9;"P30";"MiniDCDC3A";1;"MiniDCDC3A";;;
10;"P15";"Pin_Header_Straight_1x03_Pitch2.54mm";1;"DUMMY";;;
11;"P8";"Pin_Header_Straight_1x04_Pitch2.54mm";1;"Audio";;;
12;"C2,C10,C1,C31,C38,C5,C22,C23,C19,C12,C13,C11,C17,C16,C9,C33,C34,C29,C27,C26,C15,C21,C20,C14,C18,C3,C4,C6";"C_1206";28;"100nF";;;
13;"Q2";"SOT-23";1;"MMBT2222ALT1";;;
14;"R7,R19";"R_1206";2;"220";;;
15;"U3,U2,U1";"SOT-457";3;"74LVC1G3157GV";;;
16;"P33";"Pin_Header_Straight_1x02_Pitch2.54mm";1;"5V_CODERS";;;
17;"R18,R8";"R_1206";2;"200";;;
18;"R10,R40";"R_1206";2;"100";;;
19;"Fix1,Fix1,Fix1";"MountingHole_3.2mm_M3";3;"MountingHole_3.2mm_M3";;;
20;"R2,R1";"R_1206";2;"5,1K";;;
21;"Q1";"SOT-23_MOS_P";1;"IRLML5203";;;
22;"R5,R6";"R_1206";2;"4K7";;;
23;"R41";"R_1206";1;"33K";;;
24;"R16";"R_1206";1;"2.7K";;;
25;"R17";"R_1206";1;"5.1K";;;
26;"R42";"R_1206";1;"100K";;;
27;"U5";"SOT-223";1;"LD1117S33TR";;;
28;"D6";"D_SOD-123";1;"MBR0520";;;
29;"P7";"Pin_Header_Straight_2x05_Pitch2.54mm";1;"SPIX";;;
30;"P22";"connector_mini-JQ6500-28P";1;"JQ6500_28P";;;
31;"R20,R15,R9";"R_1206";3;"10K";;;
32;"R35,R32,R29,R26,R39";"R_1206";5;"47K";;;
33;"R34,R31,R28,R37";"R_1206";4;"120K";;;
34;"C45,C44,C43,C46";"C_1206";4;"22nF";;;
35;"R11,R12,R13,R14";"R_1206";4;"68K";;;
36;"C42";"C_1206";1;"6.8nF";;;
37;"P24";"Pin_Header_Straight_1x04_Pitch2.54mm";1;"Rot_2";;;
38;"P23";"Pin_Header_Straight_1x04_Pitch2.54mm";1;"Rot_1";;;
39;"P5";"Pin_Header_Straight_1x02_Pitch2.54mm";1;"Vibreur";;;
40;"P10";"Pin_Header_Straight_1x04_Pitch2.54mm";1;"RX1TX1";;;
41;"P18";"Pin_Header_Straight_1x02_Pitch2.54mm";1;"Ecolage";;;
42;"P2";"Pin_Header_Straight_1x04_Pitch2.54mm";1;"LCD_I2C";;;
43;"P20";"Con_RS232_TTL";1;"TTL/RS232";;;
44;"P21";"Pin_Header_Straight_1x02_Pitch2.54mm";1;"Sw_power";;;
45;"P17";"Pin_Header_Straight_1x02_Pitch2.54mm";1;"BATT";;;
46;"P6";"Pin_Header_Straight_1x06_Pitch2.54mm";1;"Micro_sd";;;
47;"U8";"SO-16-DS3231";1;"DS3231SN";;;
48;"BT1";"Pin_Header_Straight_1x02_Pitch2.54mm";1;"CR2032";;;
49;"R3";"R_1206";1;"18K";;;
50;"U7";"SOIC-8-FRAM_DI";1;"FM24W256";;;
51;"R4";"R_1206";1;"1K";;;
52;"P28";"Pin_Header_Straight_1x03_Pitch2.54mm";1;"5v/3,3v manches";;;
53;"P13";"Pin_Header_Straight_2x03_Pitch2.54mm";1;"Stick_right";;;
54;"P12";"Pin_Header_Straight_2x03_Pitch2.54mm";1;"Stick_left";;;
55;"R25,R24";"R_1206";2;"39K";;;
56;"P16";"Pin_Header_Straight_2x10_Pitch2.54mm";1;"LCD";;;
57;"P32";"Pin_Header_Straight_1x03_Pitch2.54mm";1;"Pot1";;;
58;"P31";"Pin_Header_Straight_1x03_Pitch2.54mm";1;"Pot2";;;
59;"P4";"Pin_Header_Straight_1x03_Pitch2.54mm";1;"Pot3";;;
60;"P26";"Pin_Header_Straight_1x03_Pitch2.54mm";1;"LCD_Alim";;;
61;"P9";"Pin_Header_Straight_2x03_Pitch2.54mm";1;"SPI";;;
62;"RV5,RV4,RV3,RV2";"Potentiometer_Bourns_3296W_3-8Zoll_Inline_ScrewUp";4;"100K";;;
63;"R36,R33,R30,R27";"Potentiometer_Trimmer_Bourns_3296W";4;"100K";;;
64;"RV6";"Potentiometer_Trimmer_Bourns_3296W";1;"1K";;;
65;"P25";"Pin_Header_Straight_2x04_Pitch2.54mm";1;"Keys";;;
66;"P11";"Pin_Header_Straight_2x05_Pitch2.54mm";1;"Trim";;;
67;"P14";"Pin_Header_Straight_2x05_Pitch2.54mm";1;"Switch";;;
68;"W1,W2,W3,W4";"TESTPT";4;"TEST_2P";;;
69;"P19";"Pin_Header_Straight_2x04_Pitch2.54mm";1;"Module_TX";;;
70;"C28,C7";"CP_Elec_6.3x5.3";2;"100µF";;;
71;"C8";"CP_Elec_6.3x5.3";1;"47µF";;;
72;"U6";"SOP14_MCP60004";1;"MCP6004";;;
73;"Q3";"SOT-23_MMBT2222";1;"MMBT2222ALT1";;;
